2022 Election SCHOOL TRUSTEE Results by Location (Vote for  9)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"300 RICHARDSON, Christopher JK
(ABC Vancouver) ",,"301 FEDORA, Aaron
(NPA) ",,,"302 CHAN-PEDLEY, Lois
(GREEN) ",,"303 THOMSON, Hilary
(Vision Vancouver) ",,,"304 MAH, Suzie
(COPE) ",,"305 TENGCO, Amanda
 ",,"306 LEUNG, Aaron
(Vision Vancouver) ",,"307 ZEIDLER, Karina
(VOTE Socialist) ",,"308 HOPKINS, Heming
 ",,"309 LITZCKE, Karin
 ",,"310 TRIGUEROS, Rocco
(COPE) ",,"311 AGGARWAL, Rahul
(NPA) ",,"312 MCARTHUR, Kera
(Vision Vancouver) ",,"313 CHIEN, Alfred
(ABC Vancouver) ",,"314 FARIDKOT, Preeti
(ABC Vancouver) ",,"315 FRASER, Janet
(GREEN) ",,"316 JUNG, Victoria
(ABC Vancouver) ",,"317 SIGURDSON, Krista
(OneCity) ",,"318 EPSTEIN, Kyla
(OneCity) ",,"319 VAUGHAN, Ashley
(NPA) ",,"320 REDDY, Jennifer
(OneCity) ",,"321 GOODINE, Nadine C
(NPA) ",,"322 SOMERS, Gavin
(OneCity) ",,"323 BROWN, Rory
(OneCity) ",,"324 LEVINE, Zelda
 ",,"325 KLJAJIC, Milan
(NPA) ",,"326 CARDWELL, Steve
(Vision Vancouver) ",,"327 POPPELL, Nick
(GREEN) ",,"328 ZHANG, Josh
(ABC Vancouver) ",,"329 WONG, Allan
(Vision Vancouver) ",,"330 ALAM, Matiul
(TEAM) ",,Total Votes
18 - Templeton Secondary School,"1,991","5,187",8,418,,141,,,655,,352,,,722,,87,,391,,339,,69,,76,,614,,147,,324,,444,,402,,575,,466,,836,,818,,131,,906,,95,,745,,782,,76,,118,,429,,453,,401,,487,,161,,"12,660"
19 - Britannia Community Services Centre,"1,555","4,134",4,185,,52,,,587,,281,,,688,,57,,298,,352,,67,,55,,634,,72,,240,,198,,188,,507,,208,,739,,718,,64,,765,,54,,671,,685,,59,,51,,317,,427,,167,,300,,139,,"9,825"
20 - Queen Victoria Annex,"1,061","2,864",0,197,,65,,,358,,222,,,381,,50,,233,,166,,34,,43,,297,,67,,193,,211,,219,,308,,231,,457,,444,,55,,479,,56,,377,,409,,41,,47,,245,,264,,204,,236,,96,,"6,685"
21 - Thunderbird Elementary School,771,"2,424",1,325,,109,,,148,,107,,,209,,52,,124,,66,,41,,44,,114,,124,,91,,329,,290,,146,,348,,145,,129,,100,,159,,87,,130,,161,,38,,75,,107,,100,,317,,209,,82,,"4,506"
22 - Sir John Franklin Community School,862,"2,492",0,345,,87,,,212,,136,,,257,,49,,119,,78,,44,,48,,175,,128,,136,,355,,331,,209,,359,,197,,181,,101,,220,,96,,166,,191,,48,,96,,153,,156,,345,,178,,70,,"5,266"
23 - Chief Maquinna Elementary School,"1,598","5,030",3,646,,140,,,345,,212,,,444,,92,,306,,136,,60,,70,,246,,173,,200,,724,,639,,294,,742,,351,,338,,129,,384,,116,,292,,336,,69,,138,,234,,186,,711,,445,,127,,"9,325"
24 - Tillicum Community Annex,"1,431","4,095",7,323,,114,,,438,,261,,,542,,73,,265,,257,,60,,75,,415,,105,,259,,326,,286,,421,,329,,509,,485,,116,,554,,90,,455,,474,,87,,87,,306,,297,,291,,307,,114,,"8,721"
25 - Hastings Community Centre,"1,245","3,592",7,462,,132,,,290,,175,,,376,,79,,239,,147,,46,,72,,231,,145,,160,,503,,452,,266,,518,,304,,298,,129,,350,,118,,281,,307,,75,,111,,205,,180,,487,,299,,113,,"7,550"
26 - Lord Selkirk Elementary School,"1,141","3,087",7,347,,86,,,324,,214,,,340,,59,,277,,152,,61,,48,,235,,96,,178,,379,,347,,304,,376,,357,,372,,101,,397,,60,,322,,338,,62,,77,,243,,204,,350,,311,,102,,"7,119"
27 - Queen Alexandra Elementary School,855,"1,952",2,181,,62,,,272,,183,,,317,,53,,199,,164,,62,,41,,276,,58,,189,,184,,180,,254,,207,,367,,353,,59,,392,,62,,335,,329,,43,,48,,203,,208,,166,,200,,78,,"5,725"
