2022 Election PARK BOARD COMMISSIONER Results by Location  (Vote for  7)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"200 JENSEN, Scott
(ABC Vancouver) ",,"201 GIESBRECHT, Gwen
(COPE) ",,,"202 CHARRETTE, Nick
 ",,"203 DIGBY, Tom
(GREEN) ",,,"204 FRENKEL, Carla
(Vision Vancouver) ",,"205 UPTON, Jason
(NPA) ",,"206 PINOCHET-ESCUDERO, Andrea
(VOTE Socialist) ",,"207 LIVINGSTONE, Chris
(COPE) ",,"208 BARKER, Tricia
(TEAM) ",,"209 STOCKWELL, Caitlin
(OneCity) ",,"210 HOWARD, Marie-Claire
(ABC Vancouver) ",,"211 ROLLERGIRL
 ",,"212 IRWIN, John
(Vision Vancouver) ",,"213 JACKSON, Serena
(OneCity) ",,"214 CHRISTENSEN, Laura
(ABC Vancouver) ",,"215 RILEY, Tricia
(GREEN) ",,"216 VIRDI, Jas
(ABC Vancouver) ",,"217 HASSAN, Maira
(COPE) ",,"218 MENARD, Liam Murphy
 ",,"219 SEPTEMBER, Dehara
(NPA) ",,"220 ZARUDINA, Olga
(NPA) ",,"221 KIMURA, Kumi
(TEAM) ",,"222 LARSEN, Kathleen
(TEAM) ",,"223 MOLLINEAUX, Michelle
(TEAM) ",,"224 PASIN, Dave
(NPA) ",,"225 BUCKSHON, James
(TEAM) ",,"226 RIVERS, Tiyaltelut Kristen
(OneCity) ",,"227 AUDLEY, Patrick
(TEAM) ",,"228 BASTYOVANSZKY, Brennan
(ABC Vancouver) ",,"229 HAER, Angela Kate
(ABC Vancouver) ",,"230 SMITH, Tracy D
 ",,"231 CRAIG, Steven
 ",,Total Votes
18 - Templeton Secondary School,"1,991","3,054",5,535,,689,,,62,,604,,,388,,119,,315,,650,,177,,803,,454,,78,,401,,765,,438,,595,,388,,601,,68,,101,,97,,178,,173,,137,,110,,90,,773,,111,,397,,413,,78,,60,,"10,848"
19 - Britannia Community Services Centre,"1,555","2,319",4,228,,715,,,60,,546,,,337,,62,,344,,666,,137,,715,,186,,105,,308,,688,,209,,549,,168,,607,,57,,53,,36,,117,,123,,106,,50,,80,,745,,83,,182,,176,,61,,39,,"8,538"
20 - Queen Victoria Annex,"1,061","1,613",0,252,,368,,,27,,337,,,223,,69,,139,,320,,126,,432,,225,,44,,243,,394,,238,,352,,194,,321,,32,,45,,30,,92,,106,,90,,55,,64,,408,,64,,211,,224,,59,,30,,"5,814"
21 - Thunderbird Elementary School,771,"1,478",2,359,,103,,,29,,138,,,93,,90,,56,,115,,102,,138,,300,,32,,106,,131,,300,,128,,277,,99,,27,,62,,50,,76,,77,,57,,87,,47,,117,,54,,266,,307,,47,,35,,"3,905"
22 - Sir John Franklin Community School,862,"1,391",1,387,,162,,,34,,210,,,105,,88,,60,,171,,101,,184,,347,,41,,122,,157,,333,,214,,326,,162,,37,,57,,43,,75,,90,,58,,69,,35,,171,,49,,319,,336,,48,,45,,"4,636"
23 - Chief Maquinna Elementary School,"1,598","2,831",3,773,,261,,,80,,290,,,230,,122,,125,,282,,173,,310,,656,,37,,230,,289,,689,,282,,649,,243,,74,,80,,81,,139,,119,,83,,139,,95,,273,,85,,601,,683,,93,,68,,"8,334"
24 - Tillicum Community Annex,"1,431","2,389",5,397,,495,,,49,,388,,,293,,104,,273,,452,,162,,493,,301,,81,,291,,454,,344,,388,,272,,406,,66,,72,,64,,123,,112,,77,,71,,82,,458,,91,,282,,322,,76,,54,,"7,593"
25 - Hastings Community Centre,"1,245","2,114",2,566,,222,,,46,,278,,,172,,120,,113,,255,,137,,274,,470,,53,,190,,257,,465,,250,,440,,209,,58,,101,,91,,92,,106,,83,,107,,51,,260,,73,,438,,483,,59,,68,,"6,587"
26 - Lord Selkirk Elementary School,"1,141","1,816",4,415,,247,,,43,,312,,,210,,86,,141,,252,,119,,383,,352,,36,,223,,329,,372,,302,,323,,198,,59,,55,,64,,96,,112,,78,,75,,65,,340,,71,,327,,344,,68,,46,,"6,143"
27 - Queen Alexandra Elementary School,855,"1,164",2,217,,310,,,41,,245,,,184,,59,,129,,294,,89,,343,,179,,61,,183,,354,,185,,267,,137,,254,,57,,60,,47,,70,,83,,55,,49,,42,,353,,58,,143,,166,,55,,38,,"4,807"
28 - Trout Lake Community Centre,"1,680","2,547",6,513,,497,,,46,,476,,,351,,110,,241,,492,,188,,601,,415,,62,,356,,568,,469,,490,,391,,416,,67,,78,,54,,136,,170,,107,,78,,93,,583,,121,,412,,446,,91,,53,,"9,171"
29 - Kensington Community Centre,"1,846","2,923",1,947,,278,,,108,,387,,,268,,189,,148,,281,,165,,316,,834,,70,,285,,301,,830,,341,,790,,251,,98,,133,,112,,146,,163,,96,,168,,76,,267,,97,,734,,856,,124,,133,,"9,992"
30 - Sir Richard McBride Annex,"1,207","2,057",0,549,,207,,,46,,285,,,211,,116,,108,,200,,143,,247,,453,,39,,211,,226,,450,,291,,384,,175,,57,,87,,69,,114,,137,,100,,92,,62,,227,,92,,414,,470,,67,,63,,"6,392"
31 - Charles Dickens Annex,"1,422","2,350",0,517,,357,,,57,,351,,,240,,113,,182,,349,,154,,445,,444,,56,,306,,383,,437,,341,,399,,296,,57,,78,,58,,133,,117,,110,,92,,79,,402,,87,,410,,433,,66,,55,,"7,604"
32 - Dr. R. E. McKechnie Elementary School,814,"1,379",1,465,,71,,,16,,116,,,72,,71,,24,,66,,120,,93,,442,,21,,93,,61,,430,,122,,406,,52,,29,,49,,38,,89,,102,,76,,53,,67,,74,,66,,427,,452,,26,,23,,"4,312"
33 - Kerrisdale Elementary School,915,"1,557",2,440,,88,,,28,,160,,,115,,85,,35,,81,,188,,97,,424,,22,,122,,91,,438,,148,,371,,70,,38,,45,,41,,152,,157,,127,,75,,99,,82,,99,,403,,437,,47,,29,,"4,834"
34 - Kerrisdale Community Centre,"2,138","3,955",3,"1,038",,254,,,63,,393,,,207,,191,,99,,230,,403,,247,,971,,47,,247,,207,,965,,351,,872,,213,,86,,118,,116,,291,,317,,233,,171,,190,,216,,213,,890,,950,,110,,91,,"10,990"
35 - Captain James Cook Elementary School,972,"1,693",4,452,,119,,,47,,202,,,128,,104,,56,,134,,155,,128,,398,,34,,150,,104,,410,,190,,367,,112,,62,,80,,78,,128,,141,,83,,85,,70,,105,,82,,350,,391,,72,,66,,"5,083"
36 - Champlain Heights Community Centre,"1,538","2,654",4,577,,332,,,85,,391,,,241,,115,,123,,303,,198,,361,,489,,71,,295,,312,,523,,362,,447,,272,,91,,93,,77,,170,,197,,141,,94,,102,,324,,128,,446,,504,,117,,103,,"8,084"
37 - Killarney Community Centre,"1,779","3,534",5,971,,190,,,58,,262,,,198,,169,,102,,181,,158,,187,,845,,47,,239,,164,,828,,243,,791,,161,,89,,124,,110,,149,,142,,118,,149,,89,,150,,113,,770,,898,,107,,82,,"8,884"
